A move is represented by a number, which is the index (going from right to left, starting at 0) of the position to be occupied.
For example, Move: 0 indicates that the player occupied the bottom right square.
[x_____o__] Move: 0, q-value: 0.983407738472124
Move: 1, q-value: 0.8536933021969005
Move: 3, q-value: 0.9244251607692604
Move: 4, q-value: 0.98323808319401
Move: 5, q-value: 0.9663621466116666
Move: 6, q-value: 0.9155242983033531
Move: 7, q-value: 0.9931893460402392
[_____o__x] Move: 1, q-value: 0.9866539585054852
Move: 2, q-value: 0.9812975966815429
Move: 4, q-value: 0.9960162089356572
Move: 5, q-value: 0.9754723837895225
Move: 6, q-value: 0.9512661535278859
Move: 7, q-value: 0.9783823867361816
Move: 8, q-value: 0.9815519367039087
[_____o_x_] Move: 0, q-value: 0.991819181770552
Move: 2, q-value: 0.9907473630879207
Move: 4, q-value: 0.9780234178178944
Move: 5, q-value: 0.9833115092606666
Move: 6, q-value: 0.8171700232078605
Move: 7, q-value: 0.9825244148669299
Move: 8, q-value: 0.7543670101949829
[_____ox__] Move: 0, q-value: 0.9793159507098608
Move: 1, q-value: 0.9937057027784362
Move: 4, q-value: 0.9790278764539195
Move: 5, q-value: 0.9801812640798744
Move: 6, q-value: 0.9919539658166059
Move: 7, q-value: 0.8957452768440763
Move: 8, q-value: 0.9503208757087123
[____xo___] Move: 0, q-value: 0.9959340450271839
Move: 1, q-value: 0.9799751290383938
Move: 2, q-value: 0.9725881552940336
Move: 5, q-value: 0.9810561794810471
Move: 6, q-value: 0.9754555710726436
Move: 7, q-value: 0.983366634696722
Move: 8, q-value: 0.9943177269306034
[___x_o___] Move: 0, q-value: 0.9754958875181075
Move: 1, q-value: 0.9835761801513963
Move: 2, q-value: 0.9793229662089402
Move: 4, q-value: 0.9735431079230069
Move: 6, q-value: 0.8168357593726796
Move: 7, q-value: 0.9738625827645351
Move: 8, q-value: 0.9905097752343863
[__x__o___] Move: 0, q-value: 0.9476087498753057
Move: 1, q-value: 0.8261071737543285
Move: 2, q-value: 0.9898088543850463
Move: 4, q-value: 0.9676111000153469
Move: 5, q-value: 0.8635677148853311
Move: 7, q-value: 0.9788995253843495
Move: 8, q-value: 0.9454779535803937
[_x___o___] Move: 0, q-value: 0.9787052245709194
Move: 1, q-value: 0.9801293542841449
Move: 2, q-value: 0.9745847936418397
Move: 4, q-value: 0.9874081811867654
Move: 5, q-value: 0.9733288531417537
Move: 6, q-value: 0.9823378324508667
Move: 8, q-value: 0.9969736763108585
[x____o___] Move: 0, q-value: 0.9805330316624747
Move: 1, q-value: 0.7177532911300659
Move: 2, q-value: 0.9525850183481148
Move: 4, q-value: 0.9946487881877601
Move: 5, q-value: 0.9946321999683505
Move: 6, q-value: 0.9423040333786048
Move: 7, q-value: 0.9961199714161921
[____o___x] Move: 1, q-value: 0.9666519165039062
Move: 2, q-value: 0.9674643716193779
Move: 3, q-value: 0.9827300310134888
Move: 5, q-value: 0.9425382209844324
Move: 6, q-value: 0.9933705013245344
Move: 7, q-value: 0.9799708920874678
Move: 8, q-value: 0.9369506835934233
[____o__x_] Move: 0, q-value: 0.9679134568959853
Move: 2, q-value: 0.9927466164267571
Move: 3, q-value: 0.9168405888293591
Move: 5, q-value: 0.864320736408672
Move: 6, q-value: 0.9429931500854152
Move: 7, q-value: 0.9643263003204949
Move: 8, q-value: 0.9567715237250174
[____o_x__] Move: 0, q-value: 0.9674631777433833
Move: 1, q-value: 0.9929459579030606
Move: 3, q-value: 0.9870340659980061
Move: 5, q-value: 0.9046427781387575
Move: 6, q-value: 0.961669921874988
Move: 7, q-value: 0.9827446245421154
Move: 8, q-value: 0.9853515624994161
[____ox___] Move: 0, q-value: 0.991073407814838
Move: 1, q-value: 0.9190019635010316
Move: 2, q-value: 0.9870610088108449
Move: 5, q-value: 0.9254312473446555
Move: 6, q-value: 0.9810846795615163
Move: 7, q-value: 0.8058026467388117
Move: 8, q-value: 0.9860326752733115
[___xo____] Move: 0, q-value: 0.9426742945221109
Move: 1, q-value: 0.8675383970207289
Move: 2, q-value: 0.8758888789611659
Move: 3, q-value: 0.8960317899918482
Move: 6, q-value: 0.9840868708244879
Move: 7, q-value: 0.8196301089948221
Move: 8, q-value: 0.9967124693603182
[__x_o____] Move: 0, q-value: 0.991998516023159
Move: 1, q-value: 0.9429931640625
Move: 2, q-value: 0.961669921874988
Move: 3, q-value: 0.9811367392538941
Move: 5, q-value: 0.9840862778264332
Move: 7, q-value: 0.9896601475775242
Move: 8, q-value: 0.9831337763462216
[_x__o____] Move: 0, q-value: 0.9798974012463146
Move: 1, q-value: 0.9641568465487904
Move: 2, q-value: 0.9827632652651939
Move: 3, q-value: 0.828989057937747
Move: 5, q-value: 0.8212826637394661
Move: 6, q-value: 0.9925125516306252
Move: 8, q-value: 0.9963522291118352
[x___o____] Move: 0, q-value: 0.9369506835934299
Move: 1, q-value: 0.9567717684486091
Move: 2, q-value: 0.9853515624994246
Move: 3, q-value: 0.9871044781916025
Move: 5, q-value: 0.9966253340244293
Move: 6, q-value: 0.9831351195462048
Move: 7, q-value: 0.9947088635235559
[___o____x] Move: 1, q-value: 0.9907421696384233
Move: 2, q-value: 0.9870489453314804
Move: 3, q-value: 0.983722047608353
Move: 4, q-value: 0.9805770512903109
Move: 6, q-value: 0.9837466859038229
Move: 7, q-value: 0.8887363891408313
Move: 8, q-value: 0.9242524048313498
[___o___x_] Move: 0, q-value: 0.9899534848210578
Move: 2, q-value: 0.9977280452599189
Move: 3, q-value: 0.8628927767186921
Move: 4, q-value: 0.9831834398210049
Move: 6, q-value: 0.8414181158495921
Move: 7, q-value: 0.9788133171039526
Move: 8, q-value: 0.7021238105371594
[___o__x__] Move: 0, q-value: 0.9877848738201465
Move: 1, q-value: 0.995997575991737
Move: 3, q-value: 0.7729190170823586
Move: 4, q-value: 0.9367933761819813
Move: 6, q-value: 0.9888770765828667
Move: 7, q-value: 0.7862222554494993
Move: 8, q-value: 0.9494425631825424
[___o_x___] Move: 0, q-value: 0.984119584387372
Move: 1, q-value: 0.8954230243006402
Move: 2, q-value: 0.7062897676369175
Move: 4, q-value: 0.9875835629144079
Move: 6, q-value: 0.9653066325208783
Move: 7, q-value: 0.7972935026504575
Move: 8, q-value: 0.9169544692276363
[___ox____] Move: 0, q-value: 0.9635117650032043
Move: 1, q-value: 0.993869210840785
Move: 2, q-value: 0.9456401946081314
Move: 3, q-value: 0.984108576247524
Move: 6, q-value: 0.9823901740296606
Move: 7, q-value: 0.9814065573518747
Move: 8, q-value: 0.9850862570987857
[__xo_____] Move: 0, q-value: 0.9837731407887893
Move: 1, q-value: 0.8223171064382768
Move: 2, q-value: 0.9888875584238122
Move: 3, q-value: 0.9645279258111259
Move: 4, q-value: 0.981911655384522
Move: 7, q-value: 0.9898738466371242
Move: 8, q-value: 0.9746508815587731
[_x_o_____] Move: 0, q-value: 0.8717301421752381
Move: 1, q-value: 0.9666219993656853
Move: 2, q-value: 0.7860831515600353
Move: 3, q-value: 0.8176588546239454
Move: 4, q-value: 0.9814353534702036
Move: 6, q-value: 0.9823876457411984
Move: 8, q-value: 0.984258416040575
[x__o_____] Move: 0, q-value: 0.944684473797679
Move: 1, q-value: 0.7924252984748819
Move: 2, q-value: 0.9715704143117443
Move: 3, q-value: 0.8849743915306711
Move: 4, q-value: 0.9840700445893162
Move: 6, q-value: 0.974731175525319
Move: 7, q-value: 0.9842604593725355
[__o_____x] Move: 1, q-value: 0.9577175579033792
Move: 2, q-value: 0.9945897690921618
Move: 3, q-value: 0.7931028231978416
Move: 4, q-value: 0.9917427748441696
Move: 5, q-value: 0.8279718128467266
Move: 7, q-value: 0.8494547715031683
Move: 8, q-value: 0.9794008051394485
[__o____x_] Move: 0, q-value: 0.9627820746973157
Move: 2, q-value: 0.9835153520107269
Move: 3, q-value: 0.902419713183219
Move: 4, q-value: 0.9605951600278175
Move: 5, q-value: 0.9097425942673742
Move: 7, q-value: 0.9556881695868924
Move: 8, q-value: 0.8491317911857621
[__o___x__] Move: 0, q-value: 0.9943441099849224
Move: 1, q-value: 0.9850877354474505
Move: 3, q-value: 0.8993195791261617
Move: 4, q-value: 0.9095960098835487
Move: 5, q-value: 0.9773497844289523
Move: 7, q-value: 0.9785768834834856
Move: 8, q-value: 0.9651920227333903
[__o__x___] Move: 0, q-value: 0.8150490305719345
Move: 1, q-value: 0.8942903638974121
Move: 2, q-value: 0.898448239005802
Move: 4, q-value: 0.995432908742913
Move: 5, q-value: 0.9759694322403334
Move: 7, q-value: 0.9435263401072496
Move: 8, q-value: 0.8852274322971887
[__o_x____] Move: 0, q-value: 0.9923898433970977
Move: 1, q-value: 0.9618743909522891
Move: 2, q-value: 0.920740768678723
Move: 3, q-value: 0.9931789094407577
Move: 5, q-value: 0.9673453523937496
Move: 7, q-value: 0.9894970406555785
Move: 8, q-value: 0.983100518390529
[__ox_____] Move: 0, q-value: 0.784031219883218
Move: 1, q-value: 0.9014616307470373
Move: 2, q-value: 0.9788154190755449
Move: 3, q-value: 0.9722400687314803
Move: 4, q-value: 0.9637105276046896
Move: 7, q-value: 0.9977266958269435
Move: 8, q-value: 0.9948856853768573
[_xo______] Move: 0, q-value: 0.8796485272642682
Move: 1, q-value: 0.9384642456134316
Move: 2, q-value: 0.9783505928006873
Move: 3, q-value: 0.9513227405650617
Move: 4, q-value: 0.9873194141624673
Move: 5, q-value: 0.997661189325516
Move: 8, q-value: 0.9850031839505089
[x_o______] Move: 0, q-value: 0.9802912692539394
Move: 1, q-value: 0.8780996712532148
Move: 2, q-value: 0.9665411446044345
Move: 3, q-value: 0.9130709874953737
Move: 4, q-value: 0.9831078371789772
Move: 5, q-value: 0.9941307442059042
Move: 7, q-value: 0.9839190822756073
[_o______x] Move: 1, q-value: 0.9940342344343662
Move: 2, q-value: 0.9971554627773003
Move: 3, q-value: 0.9840716504947409
Move: 4, q-value: 0.9766625897367476
Move: 5, q-value: 0.805184309836477
Move: 6, q-value: 0.9653745774849085
Move: 8, q-value: 0.9874283709353051
[_o_____x_] Move: 0, q-value: 0.9942932038089776
Move: 2, q-value: 0.9883725801264518
Move: 3, q-value: 0.7435962255459287
Move: 4, q-value: 0.9104709858057036
Move: 5, q-value: 0.8419616633736282
Move: 6, q-value: 0.8969586194616399
Move: 8, q-value: 0.8905315549345687
[_o____x__] Move: 0, q-value: 0.9953809790313244
Move: 1, q-value: 0.9855661523761228
Move: 3, q-value: 0.8569468550300314
Move: 4, q-value: 0.9588385455871276
Move: 5, q-value: 0.9877227851065982
Move: 6, q-value: 0.9938464875885984
Move: 8, q-value: 0.9669832975341706
[_o___x___] Move: 0, q-value: 0.9837939490012104
Move: 1, q-value: 0.7498975429971324
Move: 2, q-value: 0.8480492151466024
Move: 4, q-value: 0.9794363627297571
Move: 5, q-value: 0.9983639983874397
Move: 6, q-value: 0.9982100674614571
Move: 8, q-value: 0.8393138250394259
[_o__x____] Move: 0, q-value: 0.9750429428531788
Move: 1, q-value: 0.8868248122047878
Move: 2, q-value: 0.9443905043663108
Move: 3, q-value: 0.9801360985948122
Move: 5, q-value: 0.9591814277664525
Move: 6, q-value: 0.9647645162767731
Move: 8, q-value: 0.9916289969655452
[_o_x_____] Move: 0, q-value: 0.8246185610848897
Move: 1, q-value: 0.8448230477540255
Move: 2, q-value: 0.9888878682388622
Move: 3, q-value: 0.9980112645571353
Move: 4, q-value: 0.9540359961101785
Move: 6, q-value: 0.821535254859814
Move: 8, q-value: 0.9833959863171913
[_ox______] Move: 0, q-value: 0.9703005466144532
Move: 1, q-value: 0.9180987216440712
Move: 2, q-value: 0.9938782836936468
